Power plant,Net generation (MWh/year),Electricity fuel consumption (MMBtu/year)
AL_195_3_Natural Gas and Other Gases,8113887.0,57439850.0
AL_195_3_Coal,3678399.0,37026731.0
AL_195_26_Petroleum Products,127.0,3176.0
AL_195_26_Coal,2970438.0,30984960.0
AL_195_26_Natural Gas and Other Gases,1365413.0,15184965.0
AL_18642_46_Nuclear,31053552.0,323861005.0
LA_3265_51_Coal,942857.0,12064920.0
LA_3265_51_Natural Gas and Other Gases,134295.0,1739732.0
NE_40606_59_Petroleum Products,477.0,5495.0
NE_40606_59_Coal,421755.0,4838057.0
NE_8245_60_Petroleum Products,2215.0,32367.0
NE_8245_60_Coal,1297152.0,18856368.0
KS_18315_108_Natural Gas and Other Gases,14699.0,166789.0
KS_18315_108_Coal,1584872.0,17103560.0
AZ_803_113_Petroleum Products,1933.0,18469.0
AZ_803_113_Natural Gas and Other Gases,163.0,1649.0
AZ_803_113_Coal,1924451.0,19279682.0
AZ_803_117_Natural Gas and Other Gases,2196478.0,23938117.0
AZ_24211_126_Natural Gas and Other Gases,818629.0,8448652.0
SC_17543_130_Petroleum Products,33710.0,344222.0
SC_17543_130_Coal,7322978.0,74712350.0
FL_21554_136_Coal,6530071.0,66384983.0
FL_21554_136_Petroleum Products,20587.0,210995.0
AZ_16572_141_Petroleum Products,259.0,6363.0
AZ_16572_141_Natural Gas and Other Gases,124334.0,1440761.0
AZ_16572_147_Natural Gas and Other Gases,1406034.0,10348616.0
AZ_796_160_Natural Gas and Other Gases,1110096.0,12312962.0
AZ_796_160_Coal,885408.0,9767404.0
OK_7490_165_Natural Gas and Other Gases,1256682.0,13076672.0
OK_7490_165_Coal,1166579.0,16007290.0
IL_55951_204_Nuclear,8348706.0,87069596.0
KS_20893_210_Nuclear,8574732.0,89426849.0
TX_54888_298_Natural Gas and Other Gases,30235.0,339538.0
TX_54888_298_Coal,5671894.0,63159091.0
CA_17609_358_Natural Gas and Other Gases,2025784.0,16117148.0
WA_20160_371_Nuclear,8511288.0,88765185.0
CA_7294_377_Natural Gas and Other Gases,142738.0,1926946.0
CA_9216_389_Natural Gas and Other Gases,678012.0,8344165.0
CA_11208_408_Natural Gas and Other Gases,744063.0,8745541.0
CO_15466_469_Natural Gas and Other Gases,2077476.0,25674678.0
CO_15466_470_Natural Gas and Other Gases,238789.0,2495427.0
CO_15466_470_Coal,7936813.0,82342526.0
