ID ,Water consumption (MGal/year),Fuel type,Cooling ID
TX_49768_55168_0001_HRSG1A_CTOWER_Natural Gas and Other Gases,392.061,Natural Gas and Other Gases,TX_49768_55168_CTOWER
TX_49768_55168_0001_HRSG1B_CTOWER_Natural Gas and Other Gases,392.061,Natural Gas and Other Gases,TX_49768_55168_CTOWER
NM_15473_55210_0001_1_1_Natural Gas and Other Gases,56.93500000000001,Natural Gas and Other Gases,NM_15473_55210_1
NJ_22131_55239_0001_HRSG1_TOWER_Natural Gas and Other Gases,553.4540000000001,Natural Gas and Other Gases,NJ_22131_55239_TOWER
NJ_22131_55239_0001_HRSG2_TOWER_Natural Gas and Other Gases,553.4540000000001,Natural Gas and Other Gases,NJ_22131_55239_TOWER
NJ_22131_55239_0001_HRSG3_TOWER_Natural Gas and Other Gases,553.4540000000001,Natural Gas and Other Gases,NJ_22131_55239_TOWER
TX_49768_55168_0002_HRSG1A_CTOWER_Natural Gas and Other Gases,392.061,Natural Gas and Other Gases,TX_49768_55168_CTOWER
TX_49768_55168_0002_HRSG1B_CTOWER_Natural Gas and Other Gases,392.061,Natural Gas and Other Gases,TX_49768_55168_CTOWER
NM_15473_55210_0002_1_1_Natural Gas and Other Gases,56.93500000000001,Natural Gas and Other Gases,NM_15473_55210_1
NJ_22131_55239_0002_HRSG1_TOWER_Natural Gas and Other Gases,553.4540000000001,Natural Gas and Other Gases,NJ_22131_55239_TOWER
NJ_22131_55239_0002_HRSG2_TOWER_Natural Gas and Other Gases,553.4540000000001,Natural Gas and Other Gases,NJ_22131_55239_TOWER
NJ_22131_55239_0002_HRSG3_TOWER_Natural Gas and Other Gases,553.4540000000001,Natural Gas and Other Gases,NJ_22131_55239_TOWER
TX_49768_55168_0003_HRSG1A_CTOWER_Natural Gas and Other Gases,392.061,Natural Gas and Other Gases,TX_49768_55168_CTOWER
TX_49768_55168_0003_HRSG1B_CTOWER_Natural Gas and Other Gases,392.061,Natural Gas and Other Gases,TX_49768_55168_CTOWER
NM_15473_55210_0003_1_1_Natural Gas and Other Gases,56.93500000000001,Natural Gas and Other Gases,NM_15473_55210_1
NJ_22131_55239_0003_HRSG1_TOWER_Natural Gas and Other Gases,553.4540000000001,Natural Gas and Other Gases,NJ_22131_55239_TOWER
NJ_22131_55239_0003_HRSG2_TOWER_Natural Gas and Other Gases,553.4540000000001,Natural Gas and Other Gases,NJ_22131_55239_TOWER
NJ_22131_55239_0003_HRSG3_TOWER_Natural Gas and Other Gases,553.4540000000001,Natural Gas and Other Gases,NJ_22131_55239_TOWER
NJ_22131_55239_0004_HRSG1_TOWER_Natural Gas and Other Gases,553.4540000000001,Natural Gas and Other Gases,NJ_22131_55239_TOWER
NJ_22131_55239_0004_HRSG2_TOWER_Natural Gas and Other Gases,553.4540000000001,Natural Gas and Other Gases,NJ_22131_55239_TOWER
NJ_22131_55239_0004_HRSG3_TOWER_Natural Gas and Other Gases,553.4540000000001,Natural Gas and Other Gases,NJ_22131_55239_TOWER
NV_49896_56224_001_BLR100_CTW100_Coal,189.44600000000003,Coal,NV_49896_56224_CTW100
FL_9617_7846_002_HRSG2_2_Natural Gas and Other Gases,431.24600000000004,Natural Gas and Other Gases,FL_9617_7846_2
FL_9617_7846_002_HRSG3_3_Natural Gas and Other Gases,431.24600000000004,Natural Gas and Other Gases,FL_9617_7846_3
FL_9617_7846_003_HRSG2_2_Natural Gas and Other Gases,431.24600000000004,Natural Gas and Other Gases,FL_9617_7846_2
FL_9617_7846_003_HRSG3_3_Natural Gas and Other Gases,431.24600000000004,Natural Gas and Other Gases,FL_9617_7846_3
FL_9617_7846_004_HRSG2_2_Natural Gas and Other Gases,431.24600000000004,Natural Gas and Other Gases,FL_9617_7846_2
FL_9617_7846_004_HRSG3_3_Natural Gas and Other Gases,431.24600000000004,Natural Gas and Other Gases,FL_9617_7846_3
IN_61137_55502_0100_1A_PLANT_Natural Gas and Other Gases,1585.281,Natural Gas and Other Gases,IN_61137_55502_PLANT
IN_61137_55502_0100_1B_PLANT_Natural Gas and Other Gases,1585.281,Natural Gas and Other Gases,IN_61137_55502_PLANT
IN_61137_55502_0200_2A_PLANT_Natural Gas and Other Gases,1585.281,Natural Gas and Other Gases,IN_61137_55502_PLANT
IN_61137_55502_0200_2B_PLANT_Natural Gas and Other Gases,1585.281,Natural Gas and Other Gases,IN_61137_55502_PLANT
AL_18642_46_1_NSS1_SITE_Nuclear,10461.0,Nuclear,AL_18642_46_SITE
LA_3265_51_1_1_CW_Coal,1.878,Coal,LA_3265_51_CW
NE_40606_59_1_1_1_Coal,230.7,Coal,NE_40606_59_1
NE_8245_60_1_1_1_Coal,210.47699999999998,Coal,NE_8245_60_1
KS_18315_108_1_SGU1_CW1A_Coal,803.6999999999999,Coal,KS_18315_108_CW1A
AZ_803_113_1_1_1_Coal,765.0,Coal,AZ_803_113_1
SC_17543_130_1_1_1_Coal,1768.4130000000002,Coal,SC_17543_130_1
FL_21554_136_1_1_1_Coal,1214.319,Coal,FL_21554_136_1
IL_55951_204_1_NSS1_CW-1_Nuclear,12758.186999999998,Nuclear,IL_55951_204_CW-1
KS_20893_210_1_NSS1_1_Nuclear,3384.0,Nuclear,KS_20893_210_1
TX_54888_298_1_LIM1_C1_Coal,1234.6129999999998,Coal,TX_54888_298_C1
CA_7294_377_1_8A_PLANT_Natural Gas and Other Gases,50.683,Natural Gas and Other Gases,CA_7294_377_PLANT
CA_7294_377_1_8BC_PLANT_Natural Gas and Other Gases,50.683,Natural Gas and Other Gases,CA_7294_377_PLANT
CO_15466_469_1_1_PLANT_Coal,746.8560000000001,Coal,CO_15466_469_PLANT
CO_15466_470_1_1_PLANT_Coal,3583.652,Coal,CO_15466_470_PLANT
CO_15466_525_1_H1_PLANT_Coal,1430.128,Coal,CO_15466_525_PLANT
AL_189_533_1_HRSG1_MCWCT_Natural Gas and Other Gases,47.18000000000001,Natural Gas and Other Gases,AL_189_533_MCWCT
FL_14610_564_1_1_1_Coal,718.1999999999999,Coal,FL_14610_564_1
