Plant_Id,"Combined_Heat_And
Power_Plant",Nuclear_Unit_Id,Plant_Name,Operator_Name,Operator_Id,Plant_State,Census_Region,NERC_Region,Reserved,NAICS_Code,EIA_Sector_Number,Sector_Name,"Reported
Prime_Mover",Reported_Fuel_Type_Code,AER_Fuel_Type_Code,Balancing_Authority_Code,"Respondent
Frequency","Physical
Unit_Label","Quantity
January","Quantity
February","Quantity
March","Quantity
April","Quantity
May","Quantity
June","Quantity
July","Quantity
August","Quantity
September","Quantity
October","Quantity
November","Quantity
December","Elec_Quantity
January","Elec_Quantity
February","Elec_Quantity
March","Elec_Quantity
April","Elec_Quantity
May","Elec_Quantity
June","Elec_Quantity
July","Elec_Quantity
August","Elec_Quantity
September","Elec_Quantity
October","Elec_Quantity
November","Elec_Quantity
December","MMBtuPer_Unit
January","MMBtuPer_Unit
February","MMBtuPer_Unit
March","MMBtuPer_Unit
April","MMBtuPer_Unit
May","MMBtuPer_Unit
June","MMBtuPer_Unit
July","MMBtuPer_Unit
August","MMBtuPer_Unit
September","MMBtuPer_Unit
October","MMBtuPer_Unit
November","MMBtuPer_Unit
December","Tot_MMBtu
January","Tot_MMBtu
February","Tot_MMBtu
March","Tot_MMBtu
April","Tot_MMBtu
May","Tot_MMBtu
June","Tot_MMBtu
July","Tot_MMBtu
August","Tot_MMBtu
September","Tot_MMBtu
October","Tot_MMBtu
November","Tot_MMBtu
December","Elec_MMBtu
January","Elec_MMBtu
February","Elec_MMBtu
March","Elec_MMBtu
April","Elec_MMBtu
May","Elec_MMBtu
June","Elec_MMBtu
July","Elec_MMBtu
August","Elec_MMBtu
September","Elec_MMBtu
October","Elec_MMBtu
November","Elec_MMBtu
December","Netgen
January","Netgen
February","Netgen
March","Netgen
April","Netgen
May","Netgen
June","Netgen
July","Netgen
August","Netgen
September","Netgen
October","Netgen
November","Netgen
December","Total_Fuel_Consumption
Quantity","Electric_Fuel_Consumption
Quantity","Total_Fuel_Consumption
MMBtu",Elec_Fuel_Consumption_MMBtu,Net_Generation_(Megawatthours),YEAR,ID_SUP,Ftype,Unique
3,N,.,Barry,Alabama Power Co,195,AL,ESC,SERC,,22,1,Electric Utility,CA,NG,NG,SOCO,M,mcf,"37,837","24,972","22,230","48,459","63,513","87,775","59,474","62,849","42,565","75,889","25,392","55,729","37,837","24,972","22,230","48,459","63,513","87,775","59,474","62,849","42,565","75,889","25,392","55,729",1.02,1.02,1.02,1.02,1.02,1.01,1.02,1.01,1.02,1.02,1.01,1.01,"38,405","25,347","22,563","49,186","64,466","88,916","60,366","63,666","43,246","77,103","25,722","56,398","38,405","25,347","22,563","49,186","64,466","88,916","60,366","63,666","43,246","77,103","25,722","56,398","267,855","211,532","151,640","208,134","246,122","253,273","262,176","262,090","168,852","218,962","239,159","215,057","606,684","606,684","615,384",615384.0,2704852.0,2021,AL_195_3,Natural Gas and Other Gases,AL_195_3_Natural Gas and Other Gases
3,N,.,Barry,Alabama Power Co,195,AL,ESC,SERC,,22,1,Electric Utility,CT,NG,NG,SOCO,M,mcf,"5,414,508","4,389,152","3,125,633","4,196,931","4,824,327","5,009,255","5,187,450","5,264,905","3,393,647","4,352,037","4,690,624","4,249,030","5,414,508","4,389,152","3,125,633","4,196,931","4,824,327","5,009,255","5,187,450","5,264,905","3,393,647","4,352,037","4,690,624","4,249,030",1.02,1.02,1.02,1.02,1.02,1.01,1.02,1.01,1.02,1.02,1.01,1.01,"5,495,726","4,454,989","3,172,517","4,259,885","4,896,692","5,074,375","5,265,262","5,333,349","3,447,945","4,421,670","4,751,602","4,300,018","5,495,726","4,454,989","3,172,517","4,259,885","4,896,692","5,074,375","5,265,262","5,333,349","3,447,945","4,421,670","4,751,602","4,300,018","529,293","426,147","304,555","409,135","464,941","481,673","500,085","508,372","326,341","415,733","444,712","411,216","54,097,499","54,097,499","54,874,030",54874030.0,5222203.0,2021,AL_195_3,Natural Gas and Other Gases,AL_195_3_Natural Gas and Other Gases
3,N,.,Barry,Alabama Power Co,195,AL,ESC,SERC,,22,1,Electric Utility,ST,BIT,COL,SOCO,M,short tons,0,"95,430","178,718","142,590","169,812","166,368","235,329","242,230","248,851","40,490","126,677","171,684",0,"95,430","178,718","142,590","169,812","166,368","235,329","242,230","248,851","40,490","126,677","171,684",0,19.68,19.61,20.61,21.17,21.08,20.84,19.92,19.79,19.7,20.9,20.42,0,"1,877,585","3,504,303","2,938,637","3,594,920","3,506,705","4,904,492","4,825,222","4,924,512","797,451","2,647,803","3,505,101",0,"1,877,585","3,504,303","2,938,637","3,594,920","3,506,705","4,904,492","4,825,222","4,924,512","797,451","2,647,803","3,505,101",0,"182,175","353,695","298,537","360,892","355,929","481,810","473,355","491,348","71,862","251,627","357,169","1,818,179","1,818,179","37,026,731",37026731.0,3678399.0,2021,AL_195_3,Coal,AL_195_3_Coal
3,N,.,Barry,Alabama Power Co,195,AL,ESC,SERC,,22,1,Electric Utility,ST,NG,NG,SOCO,M,mcf,"2,198","109,381","60,437","73,837","120,431","132,447","160,548","288,917","633,497","94,193","128,072","86,760","2,198","109,381","60,437","73,837","120,431","132,447","160,548","288,917","633,497","94,193","128,072","86,760",1.03,1.02,1.03,1.03,1.04,1.04,1.04,1.03,1.03,1.03,1.03,1.03,"2,255","111,897","62,431","76,200","125,007","138,275","167,612","297,296","651,868","96,830","131,402","89,363","2,255","111,897","62,431","76,200","125,007","138,275","167,612","297,296","651,868","96,830","131,402","89,363","-5,642","10,857","6,301","7,741","12,549","14,035","16,466","29,165","65,041","8,726","12,487","9,106","1,890,718","1,890,718","1,950,436",1950436.0,186832.0,2021,AL_195_3,Natural Gas and Other Gases,AL_195_3_Natural Gas and Other Gases
26,N,.,E C Gaston,Alabama Power Co,195,AL,ESC,SERC,,22,1,Electric Utility,GT,DFO,DFO,SOCO,M,barrels,0,107,41,53,40,44,47,51,53,61,53,0,0,107,41,53,40,44,47,51,53,61,53,0,0,5.78,5.78,5.78,5.78,5.78,5.78,5.77,5.78,5.78,5.78,0,0,618,237,306,231,254,272,294,306,352,306,0,0,618,237,306,231,254,272,294,306,352,306,0,-9,34,12,13,10,11,12,11,13,15,13,-8,550,550,"3,176",3176.0,127.0,2021,AL_195_26,Petroleum Products,AL_195_26_Petroleum Products
26,N,.,E C Gaston,Alabama Power Co,195,AL,ESC,SERC,,22,1,Electric Utility,ST,BIT,COL,SOCO,M,short tons,"148,070","211,108","162,527","97,569","104,978",166,"217,190","218,573",0,0,"91,462","58,967","148,070","211,108","162,527","97,569","104,978",166,"217,190","218,573",0,0,"91,462","58,967",23.73,23.77,23.36,23.86,23.53,23.53,23.74,23.3,0,0,24.02,23.9,"3,514,293","5,017,615","3,796,956","2,327,996","2,470,132","3,906","5,155,656","5,091,877",0,0,"2,197,100","1,409,429","3,514,293","5,017,615","3,796,956","2,327,996","2,470,132","3,906","5,155,656","5,091,877",0,0,"2,197,100","1,409,429","338,954","493,557","386,890","202,961","222,086",356,"480,541","507,361",0,0,"191,936","145,796","1,310,610","1,310,610","30,984,960",30984960.0,2970438.0,2021,AL_195_26,Coal,AL_195_26_Coal
26,N,.,E C Gaston,Alabama Power Co,195,AL,ESC,SERC,,22,1,Electric Utility,ST,NG,NG,SOCO,M,mcf,"120,387","1,846","172,238","630,213","2,049,739","4,048,965","1,819,266","2,170,328","2,218,767","1,299,334","158,389","88,171","120,387","1,846","172,238","630,213","2,049,739","4,048,965","1,819,266","2,170,328","2,218,767","1,299,334","158,389","88,171",1.03,1.03,1.03,1.02,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,"123,878","1,909","176,544","645,338","2,103,032","4,158,287","1,873,844","2,231,097","2,280,892","1,337,015","162,666","90,463","123,878","1,909","176,544","645,338","2,103,032","4,158,287","1,873,844","2,231,097","2,280,892","1,337,015","162,666","90,463","11,948",188,"17,989","56,262","189,080","379,113","174,655","222,309","182,029","108,272","14,210","9,358","14,777,643","14,777,643","15,184,965",15184965.0,1365413.0,2021,AL_195_26,Natural Gas and Other Gases,AL_195_26_Natural Gas and Other Gases
46,N,3,Browns Ferry,Tennessee Valley Authority,18642,AL,ESC,SERC,,22,1,Electric Utility,ST,NUC,NUC,TVA,M,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,467,340","9,005,748","9,921,851","9,514,250","9,888,875","9,130,125","9,613,348","9,525,451","9,347,781","9,838,283","9,327,131","9,745,641","9,467,340","9,005,748","9,921,851","9,514,250","9,888,875","9,130,125","9,613,348","9,525,451","9,347,781","9,838,283","9,327,131","9,745,641","907,780","863,520","951,361","912,278","948,199","875,446","921,780","913,352","896,316","943,348","894,336","934,465",0,0,"114,325,824",114325824.0,10962181.0,2021,AL_18642_46,Nuclear,AL_18642_46_Nuclear
46,N,1,Browns Ferry,Tennessee Valley Authority,18642,AL,ESC,SERC,,22,1,Electric Utility,ST,NUC,NUC,TVA,M,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,861,415","8,786,048","9,765,217","9,444,469","9,493,684","9,346,780","9,519,423","9,409,751","9,336,288","9,719,412","9,508,994","9,290,598","9,861,415","8,786,048","9,765,217","9,444,469","9,493,684","9,346,780","9,519,423","9,409,751","9,336,288","9,719,412","9,508,994","9,290,598","945,566","842,454","936,342","905,587","910,306","896,220","912,774","902,258","895,214","931,950","911,774","890,833",0,0,"113,482,079",113482079.0,10881278.0,2021,AL_18642_46,Nuclear,AL_18642_46_Nuclear
46,N,2,Browns Ferry,Tennessee Valley Authority,18642,AL,ESC,SERC,,22,1,Electric Utility,ST,NUC,NUC,TVA,M,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,700,431","7,428,960",0,"1,758,255","9,829,648","9,298,055","9,637,773","9,577,430","9,298,868","9,884,985","9,695,362","9,943,335","9,700,431","7,428,960",0,"1,758,255","9,829,648","9,298,055","9,637,773","9,577,430","9,298,868","9,884,985","9,695,362","9,943,335","930,130","712,329",0,"168,591","942,520","891,548","924,122","918,336","891,626","947,826","929,644","953,421",0,0,"96,053,102",96053102.0,9210093.0,2021,AL_18642_46,Nuclear,AL_18642_46_Nuclear
