ID SUPF,Electricity generation (MWh/year),,ID SUP,RTO,RTO and F type,Plant ID
AL_195_2_Hydro,215446.0,,AL_195_2,Southeast,Southeast_Hydro,2
AL_195_3_Natural Gas and Other Gases,8113887.0,,AL_195_3,MISO-only,MISO-only_Natural Gas and Other Gases,3
AL_195_3_Coal,3678399.0,,AL_195_3,MISO-only,MISO-only_Coal,3
AL_195_4_Hydro,392134.0,,AL_195_4,Southeast,Southeast_Hydro,4
TX_5701_9_Natural Gas and Other Gases,28972.0,,TX_5701_9,Southwest,Southwest_Natural Gas and Other Gases,9
AL_195_10_Petroleum Products,2581.0,,AL_195_10,Southeast,Southeast_Petroleum Products,10
AL_195_10_Natural Gas and Other Gases,747839.0,,AL_195_10,Southeast,Southeast_Natural Gas and Other Gases,10
AL_195_11_Hydro,257981.0,,AL_195_11,Southeast,Southeast_Hydro,11
AL_195_12_Hydro,218024.0,,AL_195_12,Southeast,Southeast_Hydro,12
AL_195_13_Hydro,570572.0,,AL_195_13,Southeast,Southeast_Hydro,13
AL_195_14_Hydro,458371.0,,AL_195_14,Southeast,Southeast_Hydro,14
AL_195_15_Hydro,719765.0,,AL_195_15,Southeast,Southeast_Hydro,15
AL_195_16_Hydro,393715.0,,AL_195_16,Southeast,Southeast_Hydro,16
AL_195_17_Hydro,585826.0,,AL_195_17,Southeast,Southeast_Hydro,17
AL_195_18_Hydro,387891.0,,AL_195_18,Southeast,Southeast_Hydro,18
AL_195_19_Hydro,259462.0,,AL_195_19,Southeast,Southeast_Hydro,19
AL_195_20_Hydro,276815.0,,AL_195_20,Southeast,Southeast_Hydro,20
AL_195_21_Hydro,154511.0,,AL_195_21,Southeast,Southeast_Hydro,21
AL_195_26_Petroleum Products,127.0,,AL_195_26,Southeast,Southeast_Petroleum Products,26
AL_195_26_Coal,2970438.0,,AL_195_26,Southeast,Southeast_Coal,26
AL_195_26_Natural Gas and Other Gases,1365413.0,,AL_195_26,Southeast,Southeast_Natural Gas and Other Gases,26
CA_13402_34_Hydro,32423.0,,CA_13402_34,CAISO,CAISO_Hydro,34
AL_27813_38_Hydro,428681.0,,AL_27813_38,Southeast,Southeast_Hydro,38
AL_18642_46_Nuclear,31053552.0,,AL_18642_46,Southeast,Southeast_Nuclear,46
AL_18642_47_Natural Gas and Other Gases,1997.0,,AL_18642_47,Southeast,Southeast_Natural Gas and Other Gases,47
