Plant,WI
CO_15466_469_Natural Gas and Other Gases,0.00035950162601156406
FL_6452_6043_Natural Gas and Other Gases,0.0003408506989523107
FL_6452_6043_Petroleum Products,0.0003415577251503594
FL_6452_620_Natural Gas and Other Gases,0.00043836469792267024
MA_11806_6081_Natural Gas and Other Gases,0.00044281480132160383
MA_11806_6081_Petroleum Products,0.0004317082118369199
MI_5109_1740_Natural Gas and Other Gases,0.0015767902546392925
NJ_15147_2406_Petroleum Products,0.0004111410738001975
NJ_15147_2406_Natural Gas and Other Gases,0.00021390194333443879
OK_15474_2963_Natural Gas and Other Gases,0.000335803268213208
OK_15474_2963_Coal,0.0002987105961022167
VA_733_3775_Natural Gas and Other Gases,0.0009036023314505468
WA_19099_3845_Coal,0.0012142707504354804
