Plant,WI
CO_15466_469_Natural Gas and Other Gases,0.00035950162601156406
FL_6452_6043_Natural Gas and Other Gases,0.0003408506989523107
FL_6452_6043_Petroleum Products,0.0003415577251503594
FL_6452_620_Natural Gas and Other Gases,0.00043836469792267024
MA_11806_6081_Natural Gas and Other Gases,0.00044281480132160383
MA_11806_6081_Petroleum Products,0.0004317082118369199
MI_5109_1740_Natural Gas and Other Gases,0.0015767902546392925
NJ_15147_2406_Petroleum Products,0.0004111410738001975
NJ_15147_2406_Natural Gas and Other Gases,0.00021390194333443879
OK_15474_2963_Natural Gas and Other Gases,0.000335803268213208
OK_15474_2963_Coal,0.0002987105961022167
VA_733_3775_Natural Gas and Other Gases,0.0009036023314505468
WA_19099_3845_Coal,0.0012142707504354804
AL_17650_7710_Natural Gas and Other Gases,0.00017391926067760534
AL_17650_7897_Natural Gas and Other Gases,0.000230661502472465
AL_18642_46_Nuclear,0.00033686967597136715
AL_189_533_Natural Gas and Other Gases,1.7718064952969017e-05
AL_189_533_Natural Gas and Other Gases,0.00014483109817077313
AL_195_26_Coal,0.0010560732120986872
AL_195_3_Coal,0.00084167677296563
AL_195_3_Natural Gas and Other Gases,8.673031803376112e-05
AL_195_3_Natural Gas and Other Gases,9.408807394039379e-05
AL_195_55440_Natural Gas and Other Gases,0.00020008100609378098
AL_195_6001_Nuclear,0.0003496644216017193
AL_195_6002_Coal,0.00021620895502342182
AL_195_6002_Coal,0.00022279895390353533
AL_2929_55292_Natural Gas and Other Gases,0.0003541333259154237
AL_31386_55271_Natural Gas and Other Gases,0.0002141902284748755
AL_55987_55411_Natural Gas and Other Gases,9.341092258583874e-05
AR_17698_56564_Coal,0.0004979129572647567
AR_17698_6138_Coal,0.00037851158170819533
AR_58905_56456_Coal,0.0003995324624076177
AR_807_55221_Natural Gas and Other Gases,0.0004077983732764343
AR_807_55714_Natural Gas and Other Gases,0.0006007790032838008
AR_814_55380_Natural Gas and Other Gases,5.9103418657970934e-05
AR_814_55380_Natural Gas and Other Gases,8.504446371039142e-05
AR_814_55380_Natural Gas and Other Gases,7.259660824792054e-05
AR_814_55380_Natural Gas and Other Gases,7.093080011682218e-05
AR_814_55418_Natural Gas and Other Gases,0.00010249682543615106
AR_814_6009_Coal,0.00022187124961950218
AR_814_6009_Coal,0.00028564858065609406
AR_814_6641_Coal,0.0004280936552730295
AR_814_8055_Nuclear,0.0006349335821047465
AR_924_55340_Natural Gas and Other Gases,0.0003960576522277769
AZ_12363_55481_Natural Gas and Other Gases,0.0002755855491469994
AZ_16572_141_Natural Gas and Other Gases,0.001867638779416732
AZ_16572_147_Natural Gas and Other Gases,0.00023328027629488334
AZ_16572_55129_Natural Gas and Other Gases,0.00032575683669651596
AZ_16572_55306_Natural Gas and Other Gases,0.0002719462668528417
AZ_16572_58557_Natural Gas and Other Gases,0.0002880553682882805
AZ_16572_59338_Natural Gas and Other Gases,0.00028080056700757777
AZ_16572_59784_Natural Gas and Other Gases,0.0002667773087099332
AZ_16572_60768_Natural Gas and Other Gases,0.00027014011640852945
AZ_16572_6177_Coal,0.00024070069274347014
AZ_16572_6177_Coal,0.00027840751327313254
AZ_16572_8068_Natural Gas and Other Gases,0.00010044739900475539
AZ_16572_8068_Natural Gas and Other Gases,0.00010147976691479512
AZ_16572_8068_Natural Gas and Other Gases,0.00010066329192977997
AZ_24211_126_Natural Gas and Other Gases,0.00034289036914157694
AZ_24211_8223_Coal,0.00021259605669211718
AZ_32790_55372_Natural Gas and Other Gases,0.0004940497645969312
