Balancing Authority,WI_NA*electricity,WI_WA*electricity,electricity,WI_NA in Mgal/MWh,WI_WA in Mgal/MWh,WI_NA in gal/MWh,WI_WA in gal/MWh
Southeast,271150.70562306937,218696.4066677586,732825251.0,0.00037000731791523564,0.00029842913623586174,370.00731791523566,298.42913623586173
MISO-only,220830.87345702396,177413.26830639667,588047258.0,0.0003755325281306285,0.0003016989976448401,375.5325281306285,301.6989976448401
SPP-only,60651.64195698413,52879.986466448645,252129904.0,0.00024055711359404687,0.00020973310038799938,240.55711359404688,209.73310038799937
Southwest,58275.107189007154,51332.2360600799,212981126.0,0.00027361629776061544,0.00024101777009142067,273.61629776061545,241.01777009142066
CAISO,24613.04879238342,23697.771859582557,145405047.0,0.00016927231413352124,0.00016297764313217105,169.27231413352123,162.97764313217104
ISO-NE,12781.55836989795,10122.912953212035,88393355.0,0.0001445986337988636,0.00011452119849067879,144.5986337988636,114.52119849067878
PJM,279994.7667114181,253805.04295743388,808238657.0,0.0003464258536589869,0.00031402240014044997,346.4258536589869,314.02240014045
MISO-SPP,9565.730949070132,7202.499338476007,70119466.0,0.0001364204762921345,0.00010271754406224382,136.4204762921345,102.71754406224382
NYISO,21139.740857773257,19055.80939311702,92806606.0,0.00022778271686579356,0.00020532815727704792,227.78271686579356,205.32815727704792
Northwest,31448.43419237814,25841.91207169391,239178563.0,0.00013148517073571572,0.00010804443235865545,131.4851707357157,108.04443235865546
ERCO-only,104678.13595607932,75049.37574482622,250607385.0,0.0004176977304802064,0.00029946992880846754,417.6977304802064,299.46992880846756
ERCO-SPP,11825.527657456947,8313.243401106167,48969453.0,0.00024148784462544326,0.00016976386077063526,241.48784462544327,169.76386077063526
